?item	?membership	?term	?constituency	?party	?start	?election	?end	?cause	?event
Q1133984	Q60585962		Q60576049						
Q1133984	Q60585857		Q60576255						
Q11787022	Q60585727		Q60576142						
Q11800461	Q60585685		Q60578252						
Q11800461	Q60585766		Q60578252						
Q11800461	Q60585857		Q60578252						
Q11800461	Q60585811		Q60578252						
Q11800627	Q60585962		Q60576133						
Q11800627	Q60585670		Q60576174						
Q11800806	Q60585811		Q60576240						
Q11800806	Q60585857		Q60576240						
Q11800897	Q60585962		Q60576067						
Q11800897	Q60585908		Q60576067						
Q11800897	Q60585670		Q60576101						
Q11801160	Q60585811								
Q11801160	Q60585727		Q60576051						
Q11801160	Q60585668		Q60576051						
Q11801160	Q60585962		Q60576051						
Q11801160	Q60585908		Q60576127						
Q11801322	Q60585661		Q60576074						
Q11801322	Q60585656		Q60576074						
Q11801322	Q60585654		Q60576074						
Q11801322	Q60586066		Q60576074						
Q11801517	Q60585665		Q60576063						
Q11801517	Q60585670		Q60576063						
Q11801517	Q60585811		Q60576063						
Q11801517	Q60586066		Q60576063						
Q11801517	Q60585908		Q60576116						
Q11801517	Q60585962		Q60576116						
Q11801517	Q60586012		Q60576148						
Q11801889	Q60585664		Q60576087						
Q11801889	Q60585661		Q60576087						
Q11801956	Q60585685		Q60576017						
Q11801956	Q60585664		Q60576062						
Q11801956	Q60585654		Q60576189						
Q11802297	Q60585654		Q60576193						
Q11802749	Q60585661		Q60576055						
Q11802749	Q60585685		Q60576055						
Q1215508	Q60585654		Q60576132						
Q1219653	Q60585670		Q60576139						
Q1219653	Q60585668		Q60576139						
Q1245756	Q60585665		Q60576045						
Q1245756	Q60585668		Q60576071						
Q1344706	Q60585668		Q60576019						
Q1344706	Q60585670		Q60576078						
Q141753	Q60585654		Q60576025						
Q141753	Q60585857		Q60576115						
Q141753	Q60585811		Q60576115						
Q141753	Q60585685		Q60576174						
Q141753	Q60585665		Q60578271						
Q141753	Q60585766		Q60578271						
Q141753	Q60585668		Q60578271						
Q141753	Q60585727		Q60578271						
Q1445724	Q60585654		Q60576033						
Q15281133	Q60585654		Q60576070						
Q15442226	Q60585857		Q60576030						
Q15442226	Q60585908		Q60576030						
Q15442226	Q60585962		Q60576030						
Q15452496	Q60586012		Q60576107						
Q15452496	Q60586066		Q60576107						
Q15452496	Q60585670		Q60576200						
Q15452496	Q60585962		Q60576246						
Q15989886	Q60585811		Q60576181						
Q15989886	Q60585962		Q60576246						
Q15990019	Q60585661								
Q15990019	Q60585654		Q60576078						
Q15990019	Q60585668		Q60576095						
Q15990019	Q60585665		Q60576315						
Q15999823	Q60585635		Q60576105						
Q16146174	Q60585635		Q60576174						
Q16146174	Q60585646		Q60576174						
Q16146221	Q60585668		Q60576144						
Q16146221	Q60585766		Q60578260						
Q16146221	Q60585962		Q60578260						
Q16146416	Q60585670		Q60576071						
Q16146657	Q60585811		Q60576231						
Q16147087	Q60585646		Q60576166						
Q16150959	Q60585632		Q60576119						
Q16152085	Q60585685		Q60576125						
Q16152085	Q60585908		Q60576125						
Q16153305	Q60585908		Q60576171						
Q16153305	Q60585811		Q60576171						
Q16153555	Q60585654		Q60578263						
Q1615891	Q60585632		Q60576117						
Q16198222	Q60585811		Q60576051						
Q16199581	Q60585766		Q60576015						
Q16199581	Q60585857		Q60576015						
Q16199718	Q60585668		Q60576080						
Q16199718	Q60585908		Q60576188						
Q16199718	Q60585811		Q60576245						
Q16199718	Q60585685		Q60576247						
Q16199718	Q60585727		Q60576247						
Q16200097	Q60585668		Q60578266						
Q16200365	Q60585661		Q60578265						
Q16200769	Q60585632		Q60576088						
Q16200771	Q60585766		Q60576051						
Q16200771	Q60585811		Q60576051						
Q16200771	Q60585857		Q60576051						
Q16200771	Q60585727		Q60576078						
Q16200771	Q60585685		Q60576095						
Q16200779	Q60585665		Q60576019						
Q16200779	Q60585668		Q60576202						
Q16200779	Q60585664		Q60576226						
Q16200843	Q60585908		Q60576045						
Q16200843	Q60585766		Q60576045						
Q16200843	Q60585857		Q60576045						
Q16200843	Q60585811		Q60576045						
Q16200843	Q60585654		Q60578265						
Q16200843	Q60585664		Q60578265						
Q16200843	Q60585656		Q60578265						
Q16200843	Q60585661		Q60578265						
Q16201730	Q60585766		Q60576204						
Q16201730	Q60585727		Q60576204						
Q16203153	Q60585857		Q60576204						
Q16203515	Q60585654		Q60576113						
Q16203999	Q60585727		Q60576174						
Q16203999	Q60585685		Q60576178						
Q16203999	Q60585668		Q60576178						
Q16203999	Q60585857		Q60576178						
Q16204207	Q60585654		Q60576119						
Q16204532	Q60585766		Q60576118						
Q16204532	Q60585857		Q60576118						
Q16204532	Q60585727		Q60576118						
Q16204532	Q60585811		Q60576118						
Q16204532	Q60586066		Q60576118						
Q16204532	Q60585962		Q60576121						
Q16204532	Q60586012		Q60576167						
Q16204723	Q60585668		Q60576121						
Q16204723	Q60585665		Q60578263						
Q16204723	Q60585766		Q60578263						
Q16204723	Q60585727		Q60578263						
Q16204723	Q60585668		Q60578263						
Q16204723	Q60585811		Q60578263						
Q16205386	Q60585664		Q60578263						
Q16205386	Q60585766		Q60578263						
Q16205396	Q60585664		Q60578263						
Q16205396	Q60585811		Q60578263						
Q16205402	Q60585727		Q60578263						
Q16205402	Q60585857		Q60595458						
Q16205680	Q60585665		Q60576064						
Q16205680	Q60585811		Q60576204						
Q16206597	Q60585962		Q60576082						
Q16206597	Q60585668		Q60576121						
Q16206597	Q60585766		Q60576188						
Q16206597	Q60585685		Q60576188						
Q16206597	Q60585727		Q60576188						
Q16206597	Q60585857		Q60578266						
Q16209708	Q60585664		Q60576045						
Q16209996	Q60585654		Q60578266						
Q16212466	Q60585811		Q60576144						
Q16212466	Q60585857		Q60578263						
Q16224608	Q60585668		Q60576078						
Q16225405	Q60585685		Q60576119						
Q16225405	Q60585727		Q60576119						
Q16225405	Q60585670		Q60576119						
Q16225624	Q60585685		Q60578266						
Q16225624	Q60585766		Q60578266						
Q16225624	Q60585727		Q60578266						
Q16225750	Q60585962		Q60576203						
Q16225750	Q60585857		Q60576234						
Q16225835	Q60585766		Q60576167						
Q16225835	Q60585908		Q60576167						
Q16225835	Q60585962		Q60576167						
Q16227121	Q60585685		Q60578266						
Q16227121	Q60585811		Q60578266						
Q16227121	Q60585727		Q60578266						
Q16227121	Q60585857		Q60578266						
Q16227183	Q60585654		Q60576019						
Q16227270	Q60585668		Q60576108						
Q16227270	Q60585727		Q60576167						
Q16227596	Q60585766		Q60576107						
Q16227596	Q60585685		Q60576107						
Q16227792	Q60585857		Q60576025						
Q16227792	Q60586066		Q60576027						
Q16227792	Q60585962		Q60576142						
Q16227792	Q60586012		Q60576252						
Q16227792	Q60585908		Q60578264						
Q16228310	Q60585665		Q60576229						
Q16228498	Q60585727		Q60576100						
Q16228691	Q60585668		Q60576156						
Q16228720	Q60585670		Q60576166						
Q16228804	Q60585766		Q60576248						
Q16228836	Q60585811		Q60576167						
Q16228954	Q60585685		Q60576100						
Q16239209	Q60585670		Q60576019						
Q16239209	Q60585766		Q60576141						
Q16239209	Q60585727		Q60576141						
Q16239209	Q60585811		Q60576141						
Q16239209	Q60585962		Q60576141						
Q16239209	Q60585857		Q60576141						
Q16239246	Q60585668		Q60576074						
Q16239271	Q60585665		Q60576186						
Q16239271	Q60585670		Q60576217						
Q16239271	Q60585685		Q60576240						
Q16239305	Q60585664		Q60576025						
Q16239305	Q60585665		Q60576025						
Q16239305	Q60585811		Q60576039						
Q16239305	Q60585670		Q60576198						
Q16239324	Q60585962		Q60576248						
Q16239324	Q60585857		Q60576251						
Q16239353	Q60585685		Q60578257						
Q16239353	Q60585766		Q60578257						
Q16239384	Q60585766		Q60576161						
Q16239384	Q60585668		Q60576161						
Q16239422	Q60585766		Q60576103						
Q16239494	Q60585665		Q60576237						
Q16239494	Q60585668		Q60576271						
Q16239494	Q60585766		Q60578273						
Q16239494	Q60585670		Q60578273						
Q16239494	Q60585857		Q60578273						
Q16239494	Q60585908		Q60578273						
Q16239494	Q60585727		Q60578273						
Q16239494	Q60585811		Q60578273						
Q16239560	Q60576926		Q60576072						
Q16239560	Q60585632		Q60576169						
Q16239560	Q60576923		Q60576169						
Q16239571	Q60585670		Q60576317						
Q16239571	Q60585962		Q60578256						
Q16239575	Q60585656		Q56189354						
Q16239575	Q60585664		Q56189354						
Q16239575	Q60585654		Q56189354						
Q16239623	Q60585857		Q60576114						
Q16239626	Q60585665		Q60576110						
Q16239626	Q60585668		Q60576166						
Q16239658	Q60585908		Q60576237						
Q16239658	Q60586012		Q60576237						
Q16239658	Q60585962		Q60576237						
Q16239658	Q60585685		Q60576317						
Q16239696	Q60585668		Q60576100						
Q16239696	Q60585908		Q60576156						
Q16239696	Q60585685		Q60576240						
Q16239792	Q60585652		Q60576050						
Q16239800	Q60585654		Q60576119						
Q16239891	Q60585661		Q60576053						
Q16239891	Q60585652		Q60576117						
Q16239891	Q60585654		Q60576117						
Q16239902	Q60585685		Q60576222						
Q16239902	Q60585766		Q60576222						
Q16239902	Q60585908		Q60576222						
Q16239902	Q60585857		Q60576222						
Q16239902	Q60585727		Q60576222						
Q16239902	Q60586012		Q60576222						
Q16239902	Q60585670		Q60576222						
Q16239902	Q60585962		Q60576222						
Q16239902	Q60586149		Q60576222						
Q16239917	Q60585635		Q60576119						
Q16239917	Q60585646		Q60576119						
Q16239935	Q60585661		Q60576170						
Q16239935	Q60585664		Q60576170						
Q16239935	Q60585654		Q60576170						
Q16239946	Q60585654		Q60576166						
Q16239979	Q60585685		Q60578257						
Q16239979	Q60585766		Q60578257						
Q16239979	Q60585727		Q60578257						
Q16239995	Q60585654		Q60578271						
Q16239998	Q60585654		Q60578264						
Q16240151	Q60585664		Q60576204						
Q16240151	Q60585668		Q60576204						
Q16240151	Q60585857		Q60576219						
Q16240224	Q60586012		Q60576122						
Q16240224	Q60586066		Q60576122						
Q16240224	Q60585962		Q60576142						
Q16240224	Q60585668		Q60576239						
Q16240224	Q60586066		Q60576277						
Q16240228	Q60585664		Q60576234						
Q16240238	Q60585654		Q60576170						
Q16240254	Q60585664		Q60576222						
Q16240262	Q60585766		Q60576058						
Q16240262	Q60585908		Q60576058						
Q16240262	Q60585857		Q60576058						
Q16240262	Q60586012		Q60576058						
Q16240262	Q60585670		Q60576058						
Q16240262	Q60586066		Q60576058						
Q16240262	Q60585962		Q60576123						
Q16240275	Q60585811		Q60576234						
Q16240296	Q60585766		Q60576229						
Q16240299	Q60585665		Q60576222						
Q16240299	Q60585668		Q60576222						
Q16240351	Q60585646		Q60576166						
Q16257165	Q60585811		Q5018343						
Q16257287	Q60585654		Q60576107						
Q16257287	Q60585656		Q60576107						
Q16513648	Q60585654		Q60578265						
Q16822471	Q60585811		Q60576069						
Q16822471	Q60585727		Q60576121						
Q16823721	Q60585811		Q60576069						
Q16823721	Q60585908		Q60576118						
Q16827947	Q60585685		Q60576058						
Q16827947	Q60585668		Q60576058						
Q16827947	Q60585811		Q60576058						
Q16827947	Q60585664		Q60576064						
Q16828922	Q60585654		Q60576133						
Q16828925	Q60585654		Q60576069						
Q16828930	Q60585668		Q60576085						
Q16839037	Q60585685		Q60576217						
Q16843643	Q60585727		Q60576069						
Q16843643	Q60585766		Q60576121						
Q16844007	Q60585811		Q56189354						
Q16844007	Q60585685		Q60576085						
Q16844007	Q60585908		Q60576101						
Q16844007	Q60585962		Q60576101						
Q16844007	Q60585766		Q60576156						
Q16844007	Q60585668		Q60576200						
Q16844192	Q60585668		Q60576234						
Q16844214	Q60585766		Q60576114						
Q16844227	Q60585857		Q60576167						
Q16844346	Q60585664		Q60576229						
Q16844356	Q60585668		Q60576229						
Q16844557	Q60585685		Q60576078						
Q16844557	Q60585727		Q60576078						
Q16844557	Q60585766		Q60576095						
Q16844557	Q60585857		Q60576126						
Q16844758	Q60585632		Q60576119						
Q16844758	Q60576928		Q60576119						
Q16844758	Q60585654		Q60576157						
Q16844758	Q60585646		Q60576181						
Q16845216	Q60585766		Q60576100						
Q16845216	Q60585727		Q60576174						
Q16845252	Q60585857		Q60578257						
Q16845252	Q60585962		Q60578257						
Q16845264	Q60585654		Q60578257						
Q16845530	Q60585654		Q60576116						
Q16845627	Q60585685		Q60576063						
Q16845648	Q60585766		Q60576100						
Q16845868	Q60585811		Q60576248						
Q16845868	Q60585766		Q60576248						
Q16845868	Q60585857		Q60576315						
Q16846134	Q60585668		Q60578263						
Q16846177	Q60585664		Q60578257						
Q16846264	Q60585654		Q60576161						
Q16846343	Q60585685		Q60576214						
Q16846343	Q60585857		Q60576229						
Q16846343	Q60585727		Q60576229						
Q16846343	Q60585908		Q60576231						
Q16846397	Q60585664		Q60576231						
Q16846411	Q60585665		Q60576231						
Q16846411	Q60585685		Q60576231						
Q16846411	Q60585857		Q60576231						
Q16846411	Q60585766		Q60576231						
Q16846411	Q60585668		Q60576231						
Q16846411	Q60585727		Q60576231						
Q16847089	Q60585635		Q60578270						
Q16847089	Q60576927		Q60578270						
Q16847089	Q60576928		Q60578270						
Q16847206	Q60585857		Q60576069						
Q16847206	Q60585811		Q60576100						
Q16847206	Q60585908		Q60576100						
Q16847206	Q60585962		Q60576100						
Q16847206	Q60586012		Q60578266						
Q16847206	Q60586066		Q60578266						
Q16847609	Q60585654		Q60576074						
Q16847734	Q60585670		Q60576069						
Q16847734	Q60585811		Q60578266						
Q16847757	Q60585668		Q60576185						
Q16847757	Q60585665		Q60578265						
Q16847757	Q60585664		Q60578265						
Q16847886	Q60585635		Q60576178						
Q16847886	Q60585646		Q60576178						
Q16847925	Q60585685		Q60576229						
Q16847925	Q60586012		Q60576229						
Q16847925	Q60585670		Q60576229						
Q16847925	Q60585908		Q60576229						
Q16847925	Q60585962		Q60576231						
Q16848002	Q60585654		Q60576183						
Q16848180	Q60585685		Q60576156						
Q16848191	Q60585654		Q60576170						
Q16848436	Q60585908		Q60576014						
Q16848436	Q60585962		Q60576018						
Q16848436	Q60585668		Q60576034						
Q16848436	Q60585811		Q60576139						
Q16848436	Q60586012		Q60576170						
Q16848436	Q60586066		Q60576193						
Q16848436	Q60585670		Q60576243						
Q16848436	Q60585766		Q60576243						
Q16848436	Q60585727		Q60576243						
Q16848436	Q60585664		Q60578262						
Q16848436	Q60585668		Q60578264						
Q16848607	Q60585635		Q60576115						
Q16848808	Q60585857		Q60576074						
Q16848808	Q60585685		Q60576136						
Q16848808	Q60585811		Q60576136						
Q16848808	Q60585670		Q60576136						
Q16848808	Q60585766		Q60576136						
Q16848808	Q60585962		Q60576136						
Q16848808	Q60585727		Q60576136						
Q16848808	Q60585908		Q60576136						
Q16848808	Q60585668		Q60576148						
Q16848859	Q60585632		Q60576178						
Q16848859	Q60585635		Q60576178						
Q16848859	Q60585646		Q60576178						
Q16848859	Q60585665		Q60576178						
Q16848859	Q60585664		Q60576178						
Q16848859	Q60585656		Q60576178						
Q16849156	Q60585661		Q60576136						
Q16849275	Q60585811		Q60576075						
Q16849275	Q60585766		Q60576075						
Q16849275	Q60585727		Q60576075						
Q16849275	Q60585661		Q60576080						
Q16849315	Q60585654		Q60576100						
Q16849401	Q60585857		Q60576088						
Q16849450	Q60585766		Q60576069						
Q16849450	Q60585665		Q60576118						
