?item	?itemLabel
Q192	David Cameron
Q1000874	Thomas Montacute, 4th Earl of Salisbury
Q1025409	Caerwyn Roderick
Q1026375	Henry Stanhope, Lord Stanhope
Q1026458	Katherine Stanhope, Countess of Chesterfield
Q1026694	Philip Stanhope, 2nd Earl of Chesterfield
Q1026930	Charles Lyttelton, 8th Viscount Cobham
Q10288965	Lord George Paget
Q10294929	Henry Marten
Q10305069	James Dunn
Q10305110	James Scarlett, 1st Baron Abinger
Q1033286	Patrick Devlin, Baron Devlin
Q1033351	Edmund Waller
Q10348962	Peter Ritchie Calder
Q1035378	Henry Spelman
Q104898	Norman Foster
Q1049595	Roderick MacFarquhar
Q1052366	Cecil Walker
Q10523755	Jocelyn Cadbury
Q1052914	Celia Thomas, Baroness Thomas of Winchester
Q1055918	Lembit Öpik
Q105667	Catherine Ashton
Q10567452	Charles Stourton, 26th Baron Mowbray
Q10567458	Paul Hamlyn
Q10567797	Desmond Brayley, Baron Brayley
Q1063510	Charles Murray, 7th Earl of Dunmore
Q1063661	Charles Baring, 2nd Baron Howick of Glendale
Q1063662	Malcolm Barclay-Harvey
Q1063686	Charles Beattie
Q1063940	Charles Chetwynd-Talbot, 22nd Earl of Shrewsbury
Q1063964	Charles Cochrane-Baillie, 2nd Baron Lamington
Q1064515	Charles Geddes, Baron Geddes of Epsom
Q1064624	Charles Grey, 5th Earl Grey
Q1064877	Charles Hope, 1st Earl of Hopetoun
Q1065379	Charles Lyell, 3rd Baron Lyell
Q1065765	Charles Petty-Fitzmaurice, 7th Marquess of Lansdowne
Q1065907	Charles Ritchie Russell, Baron Russell of Killowen
Q1066006	Charles Sanderson, Baron Sanderson of Bowden
Q106618	Henry Campbell-Bannerman
Q1066450	Charles Williams, Baron Williams of Elvel
Q1066472	Charles Wilson, 1st Baron Moran
Q1066568	Charles Sibthorp
Q1083483	Christine Crawley, Baroness Crawley
Q108377	Melusina von der Schulenburg, Countess of Walsingham
Q10844155	Fred Blackburn
Q10862163	Michael Howard, 21st Earl of Suffolk
Q1086506	Christopher Bathurst, 3rd Viscount Bledisloe
Q1086521	Christopher Birdwood, 2nd Baron Birdwood
Q1086697	Christopher Glyn, 7th Baron Wolverton
Q1086719	Christopher Haskins
Q1086773	Christopher James, 5th Baron Northbourne
Q1086853	Montague Woodhouse, 5th Baron Terrington
Q1086986	Christopher Suenson-Taylor, 3rd Baron Grantchester
Q1094831	Claire Tyler, Baroness Tyler of Enfield
Q1096999	Nigel Davies
Q10975503	David Urquhart, Baron Tayside
Q1098410	Claus Moser, Baron Moser
Q10985643	Humfrey Malins
Q1101328	John Rolls, 1st Baron Llangattock
Q1101373	William Cavendish, 1st Duke of Newcastle
Q1101395	Clifton Wrottesley, 6th Baron Wrottesley
Q1101869	Clive Brooke, Baron Brooke of Alverthorpe
Q1101965	Clive Hollick, Baron Hollick
Q1101999	Clive Soley, Baron Soley
Q1103446	Kenneth Diplock, Baron Diplock
Q1103936	Herbert du Parcq, Baron du Parcq
Q1103940	Terence Donovan, Baron Donovan
Q1108533	Colin Low, Baron Low of Dalston
Q1108694	Colin Tennant, 3rd Baron Glenconner
Q11112644	John Vane, 11th Baron Barnard
Q1111867	Diana Warwick, Baroness Warwick of Undercliffe
Q1113022	Colwyn Philipps, 3rd Viscount St Davids
Q11154675	Ian Taylor
Q1122752	Thomas Ashton, 3rd Baron Ashton of Hyde
Q11252045	Michael Swann
Q11283925	William Deedes
Q11288133	William Johnstone, 1st Marquess of Annandale
Q112908	Anthony Lester, Baron Lester of Herne Hill
Q11309157	James Duff, 5th Earl Fife
Q11327314	Herbert Wragg
Q113350	John Baring, 7th Baron Ashburton
Q1133984	Ralph Lane
Q1141134	Isaac Butt
Q1145241	Sir Harry Burrard-Neale, 2nd Baronet
Q1147508	Evelyn Ashley
Q1148684	Cyril Salmon, Baron Salmon
